sale_date,product_name,category,season_affinity,price,cost_price,discount_percent,final_price,is_festival,festival_name,is_weekend,predicted_quantity_lgb,predicted_quantity_xgb,predicted_quantity_catboost,predicted_quantity_ensemble,forecasted_revenue
2025-11-15,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,1,27,27,27,27,6750.0
2025-11-16,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,1,27,27,27,27,6750.0
2025-11-17,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,27,27,27,27,6750.0
2025-11-18,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,27,27,26,26,6500.0
2025-11-19,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,27,27,26,26,6500.0
2025-11-20,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,27,27,27,27,6750.0
2025-11-21,Aashirvaad Atta 5kg,Staples,all,250,180,3.5,241.25,0,,0,27,27,29,28,6755.0
2025-11-15,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,1,29,31,29,29,1740.0
2025-11-16,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,1,29,31,29,29,1740.0
2025-11-17,Amul Butter 100g,Dairy,all,60,42,2.75,58.35,0,,0,29,31,28,28,1633.8
2025-11-18,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,29,31,28,28,1680.0
2025-11-19,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,29,31,28,28,1680.0
2025-11-20,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,29,31,29,29,1740.0
2025-11-21,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,29,31,30,30,1800.0
2025-11-15,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,1,25,24,24,24,360.0
2025-11-16,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,1,25,24,24,24,360.0
2025-11-17,Amul Buttermilk 200ml,Dairy,summer,15,9,3.0,14.549999999999999,0,,0,25,24,23,24,349.2
2025-11-18,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,24,24,23,23,345.0
2025-11-19,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,24,24,23,23,345.0
2025-11-20,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,24,24,24,24,360.0
2025-11-21,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,25,24,25,25,375.0
