sale_date,product_name,category,season_affinity,price,cost_price,discount_percent,final_price,is_festival,festival_name,is_weekend,predicted_quantity_lgb,predicted_quantity_xgb,predicted_quantity_catboost,predicted_quantity_ensemble,forecasted_revenue
2025-11-11,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,21,19,17,18,4500.0
2025-11-12,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,21,19,18,18,4500.0
2025-11-13,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,21,19,18,19,4750.0
2025-11-14,Aashirvaad Atta 5kg,Staples,all,250,180,3.5,241.25,0,,0,21,19,20,20,4825.0
2025-11-15,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,1,21,19,19,20,5000.0
2025-11-16,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,1,21,20,19,20,5000.0
2025-11-17,Aashirvaad Atta 5kg,Staples,all,250,180,0.0,250.0,0,,0,21,19,19,19,4750.0
2025-11-11,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,33,35,31,32,1920.0
2025-11-12,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,33,35,31,32,1920.0
2025-11-13,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,33,35,32,32,1920.0
2025-11-14,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,0,33,35,33,33,1980.0
2025-11-15,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,1,33,35,33,33,1980.0
2025-11-16,Amul Butter 100g,Dairy,all,60,42,0.0,60.0,0,,1,33,35,33,33,1980.0
2025-11-17,Amul Butter 100g,Dairy,all,60,42,2.75,58.35,0,,0,33,35,32,32,1867.2
2025-11-11,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,31,31,30,30,450.0
2025-11-12,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,31,31,30,30,450.0
2025-11-13,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,31,31,30,30,450.0
2025-11-14,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,0,31,32,32,31,465.0
2025-11-15,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,1,31,32,32,31,465.0
2025-11-16,Amul Buttermilk 200ml,Dairy,summer,15,9,0.0,15.0,0,,1,31,32,32,32,480.0
2025-11-17,Amul Buttermilk 200ml,Dairy,summer,15,9,3.0,14.549999999999999,0,,0,31,31,30,31,451.04999999999995
2025-11-11,Amul Cheese Slices 200g,Dairy,all,120,85,0.0,120.0,0,,0,26,23,23,24,2880.0
2025-11-12,Amul Cheese Slices 200g,Dairy,all,120,85,0.0,120.0,0,,0,26,24,24,24,2880.0
2025-11-13,Amul Cheese Slices 200g,Dairy,all,120,85,0.0,120.0,0,,0,26,24,24,25,3000.0
2025-11-14,Amul Cheese Slices 200g,Dairy,all,120,85,0.0,120.0,0,,0,26,24,25,26,3120.0
2025-11-15,Amul Cheese Slices 200g,Dairy,all,120,85,0.0,120.0,0,,1,26,24,26,26,3120.0
2025-11-16,Amul Cheese Slices 200g,Dairy,all,120,85,0.0,120.0,0,,1,26,24,26,26,3120.0
2025-11-17,Amul Cheese Slices 200g,Dairy,all,120,85,3.5,115.8,0,,0,26,24,25,25,2895.0
2025-11-11,Amul Ghee 500ml,Dairy,winter,300,220,0.0,300.0,0,,0,14,14,12,13,3900.0
2025-11-12,Amul Ghee 500ml,Dairy,winter,300,220,0.0,300.0,0,,0,14,14,12,13,3900.0
2025-11-13,Amul Ghee 500ml,Dairy,winter,300,220,0.0,300.0,0,,0,14,14,13,13,3900.0
2025-11-14,Amul Ghee 500ml,Dairy,winter,300,220,0.0,300.0,0,,0,14,14,14,14,4200.0
